,uploaded_video_id,Alternating between high-stress and celebratory moments,Busy backgrounds with numerous props and individuals,Celebrities not clearly connected to the product/service,Cluttered visual elements across scenes,Combination of corporate and creative themes without clear link,Consistent Color Usage Across Scenes,Consistent indoor home settings,Consistent Logo Placement Across Scenes,Direct Call-to-Action Messaging,Dominant Use of Bright and Brand-Aligned Colors,Emotionally charged scenes without direct product focus,Encouraging Viewer Participation or Indulgence,Energetic and Playful Performances,Excessive use of animated or fictional characters,Focus on product features over storytelling,Frequent logo displays,Frequent pop culture references,Frequent shifts between distinct themes,Group Celebrations and Social Gatherings,High Color Contrast to Enhance Visibility,High narrative complexity with rapid theme switching,High number of individuals per scene,High number of visual elements per scene,High prevalence of tense and serious moods,Humor based on specific eras or franchises,"Inclusion of Action Sequences (Stunts, Performances)",Inclusion of Industry Experts or Professionals,Inclusion of playful props and unexpected elements,Inclusion of recognizable characters from past media,Inclusion of unrelated segments without clear connections,Inconsistent tone shifts between scenes,Integration of Brand Colors,"Lack of a clear, central storyline",Lack of dynamic visual elements,Multiple key visual elements in single scenes,Multiple key visual elements per scene,Multiple Scenes Featuring Product Consumption,Negative and agitated expressions,Numerous distinct scenes with varied settings,Overuse of costumes and props,Playful Interactions and Positive Emotions,"Positive Emotional Tone (Joyful Interactions, Emotional Bonds)",Presence of animated or fictional characters,Presence of multiple celebrities in key scenes,Product Usage Linked to Positive Scenarios,Professional Environments,Prominent Logo Display on Clothing and Props,Prominent logo placement on individuals,Relatable and Diverse Characters,Relatable and Personal Narratives,"Repetitive color schemes (soft whites, beiges, dark navies)",Repetitive product-focused scenes,Repetitive slogan usage,Scenes depict contrasting emotions,Seamless Integration with Storyline,Similar visual compositions across scenes,Static indoor settings,Tone shifts between serious and playful across scenes,Unpredictable mix of humor and serious content,Use of Dynamic Camera Angles and Shot Types,"Use of Emotional Themes (Trust, Joy, Empathy)","Use of Modern Technology Elements (Drones, AI)",Use of pop culture icons and references,Use of robotic/fantasy characters,Use of surreal or whimsical settings,Visually Highlighted CTA Elements,Attention Score
10,682,0.1111,0,0,0,0,0.8333,1,0.8333,0.0556,0.8333,0.1111,0.0556,0.8333,0,0,0.5,0,0,0.8333,0.8333,0,0.8889,0.7778,0,0,0,0,0.5556,0,0,0,0.8333,0,0,0.7778,0.7778,0.8333,0,0,0,0.8333,0.8333,0.5556,0,0.8333,0,0.8333,0,0.8333,0.8333,0,0.5556,0,0.1111,0.8333,0,1,0.1111,0.1111,0.8889,0.8333,0,0,0,0,0.0556,0.91
11,686,0,0,0,0,0.3333,0.5556,0,0.5556,0.1111,0,0,0.1111,0,0,0,0.7778,0,0.8889,0.1111,0,0.8889,0,0,0,0,0,0.3333,0,0,0.8889,0.7778,0.5556,0.8889,0,0,0,0.6667,0,1,0,0.2222,0.6667,0,0,0.6667,0.3333,0.5556,0,0.2222,0.7778,0.8889,0.6667,0,0.7778,0.6667,0.6667,0,0.1111,0.1111,0,0.6667,0,0,0,0,0.1111,0.92
12,688,0,0,0,0,0,0.3636,0.4091,0.1364,0.0455,0.4091,0.0909,0.0909,0.1364,0,0,0.4091,0,0,0.2727,0.4091,0,0.2273,0.2727,0,0,0.1364,0,0.1818,0,0,0,0.2727,0,0,0.4545,0.4545,0.1364,0.0455,0.4545,0.2273,0.2727,0.4091,0.0909,0,0.3182,0,0.1364,0,0.1818,0.3636,0.4091,0.4091,0.0909,0,0.3182,0,0.3636,0,0,0.2273,0.2727,0,0,0.0909,0.0909,0.0909,0.9
13,689,0,1,0,0,0,0.4706,1,0.4706,0,0.4706,0,0,1,0,0,0.6471,0,0,0.4706,0.4706,0,1,1,0,0,0,0,1,0,0,0,0.4706,0,0,1,1,0.4706,0,0,0,1,1,0,0,0.4706,0,0,0,0.4118,1,0,0.5882,0,0,0.4706,0,0,0,0,1,1,0,0,0,0,0,0.91
14,691,0.0571,0.1429,0.0571,0,0,0.9143,0,0.9143,0,0.9143,0.0286,0,0.1143,0,0.1429,0.1429,0,0,0.9143,0.8857,0,0.1429,0.1429,0.0571,0,0,0,0.1429,0,0,0,0.9143,0,0,0.1429,0.1429,0,0.0571,0,0.1429,0.9143,0.9143,0,0,0.9143,0,0.9143,0,0.9143,0.9143,0.1429,0.1429,0,0.0857,0,0.1429,0,0.0857,0,0.1429,0.9143,0,0,0,0,0,0.91
15,692,0,0,0,0,0,0.1389,0,0.1389,0.0278,0.1389,0.0278,0.0278,0,0,0,0.1667,0,0,0,0.1389,0,0,0,0,0,0,0,0,0,0,0,0.1389,0,0,0,0,0.1389,0.0278,0,0,0,0.0556,0,0,0.1389,0.1389,0,0,1,1,0,0,0.2222,0,0.1389,0,0,0,0,0,1,0.1389,0,0,0,0.0278,0.9
16,696,0,1,0.25,0,0,0.5455,0,0.5455,0,0.5455,0.0227,0.5455,0.4545,0,1,1,0,0,0.5455,0.5455,0,0.9318,1,0.0227,0,0.4545,0.1136,0.5909,0,0,0,0.5455,0,0,1,1,0.2273,0.0227,0,1,0.5455,0.5455,0,0.25,0.2273,0.3182,0.5455,1,0.5455,0.5227,0.2273,0.0227,0,0.0227,0.2273,1,0,0,0,0.5455,0.5455,0,0,0,0,0,0.92
17,698,0.15,0.9,0.05,0.85,0.3,,0,,,,0,,,0.05,0,0.85,0,0,,,0,0.9,0.9,0.15,0,,,0.35,0,0,0.85,,0,0,0.9,0.9,,0.15,0.95,0.95,,,0.05,0.05,,,,0,,,0,0.8,0.95,0.45,,0,0,0.45,0.2,,,,0,0.05,0.25,,0.92
18,699,0,1,0,1,0,0.8889,0,0.8889,0.2222,1,0,0.4444,0.8889,0,1,1,0,1,0.5556,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0.5556,0,1,0,0.6667,0.8889,0,0,0.6667,0,0.8889,0,0.5556,0.6667,0,1,1,0.1111,0.7778,0,0,0.1111,0.1111,0.8889,0.8889,0,0,0,0,0.3333,0.91
19,700,0,0,0,0,0,0.625,0,0.375,0.125,0.625,0,0.125,0.25,0,0,0.375,0,0,0.25,0.25,0,0,0,0,0,0.125,0,0,0,0,0,0.625,0,0,0,0,0.25,0,0,0,0.25,0.5,0,0,0.25,0,0,0,0.375,0.75,0.75,0.375,0.125,0,0.5,0.5,0,0,0,0.375,0.625,0,0,0,0,0.125,0.91
20,968,0.0769,0.0769,0,0.0769,0.0769,0.5385,0.0769,0,0.0256,0.5385,0.0769,0.0256,0.1795,0,0,0.0256,0,0.1026,0.1795,0.5385,0.1282,0.0513,0.0769,0.0769,0,0.1795,0.2564,0,0,0.1026,0.1282,0.5385,0.1282,0,0.0769,0.0769,0,0.0769,0.1795,0.0513,0.1795,0.2821,0,0,0.0256,0.2564,0.0256,0,0.3333,0.2821,0.1538,0,0.0513,0.1026,0.0256,0,0.0513,0.0769,0.0513,0.2821,0.2821,0,0,0,0,0.0256,0.85
21,971,0,0.5,0.5,0.5,0.2,1,1,1,0.1,1,0,0.1,1,0,0.2,0.7,0.7,0,1,1,0,0,0.7,0,0.5,0,0,0.5,0.7,0.2,0,1,0,0.7,0.7,0.6,0,0,0,0.5,1,1,0.7,0,0.9,0,1,0.8,1,1,0.9,0.2,0.1,0,0.1,0.7,1,0,0,0,1,0,0.7,0,0,0.1,0.86
22,990,0,0,0,0,0,1,0,1,0.1538,1,0,0.1538,1,0,0,0.6154,0.2308,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0.0769,0,0,0,1,1,0,0,1,1,1,0.3077,1,1,1,0.9231,0.0769,0,1,1,1,0,0,1,1,0.2308,0.2308,0,0,0.1538,0.86
23,994,0.5556,0.1111,0.037,0.1111,0.5556,0.1111,0.5556,0.1111,0.0741,0.1111,0.5556,0.0741,0.037,0.037,0.1481,0.1481,0.1111,0.5556,0.0741,0.0741,0.5556,0.1111,0.1111,0.5556,0.1111,0.037,0.1111,0.0741,0.1111,0.5556,0.5556,0.1111,0.5556,0.5556,0.1111,0.1852,0.0741,0.5556,0.5556,0.1111,0.0741,0.0741,0.037,0.037,0.0741,0.1111,0.1111,0.2222,0.1111,0.0741,0.5556,0.0741,0.037,0.5556,0.0741,0.5556,0.5556,0.5556,0.1111,0.037,0.0741,0.1481,0.1111,0.037,0.037,0.0741,0.86
